customer_id,full_name,email,phone,state,gender,signup_date,total_spent,loyalty_status
CX-946594,BROOKE KING,,(163)920-0820x60860,ca,F,12/28/2024,, Platinum
CRM-2401,DAWN FISHER,ROBERT10@GMAIL.COM, ,FL,M,1971/08/26,-25.0,gold
CRM-8970,Philip Martin,,(305)-555-1068,Florida,M,2022-03-24,-25.0,Gold
CRM-8126,Tom Lee,johntaylor@cole-jones.com, ,California,male,10/02/1973,, Platinum
ACC-43321,Erika Medina,aadkinsgmail.com,(305)-555-7166,Nevada,FEMALE,02/21/1982,-25.0,gold
CUST-78231,Brian Carter,iwhite@gmail.com,8749930204,FL,FEMALE,01/24/2018,210.84,bronze
CUST-67344,Katie Walton,aaron39gmail.com,0238252490,new york,Unknown,04/02/1977,,Silver 
USR-9790X, dr. justin henderson ,,305.555.5200,NY,FEMALE,2025-14-01,,Gold
CX-858210,Edward Hoffman,grayashley@gmail, ,TX,female,1976/10/16,179.38,silver
CUST-40452,Eric Torres,,4100596579,new york,Female,2025-03-32,,Silver 
CRM-9465, jason chase ,rodriguezanthony@yahoo.com,(305)-555-4305,ca,FEMALE,2022-10-25,,silver
USR-4912X, stefanie jones ,,7561316200,FL,F,2012-03-27,,Silver 
CX-274036,MELISSA HOWARD,marshchristinegmail.com,(279)576-0091x843,fl,Female,2025-12-31,,silver
CUST-60201,Chelsea Gilbert,,4798245017,California,Male,2025/08/23,,Silver 
CX-321284,Rachel Ali,johnchase@gmail,408-404-0009x83915,Nevada,Unknown,2020-08-14,-25.0,GOLD
ACC-96085, steven johnson ,michael27@yang.biz,(305)-555-4628,NY,F,2025-14-01,-25.0,Gold
CX-830215,DONALD RAMIREZ,nathan80@mahoney.net,+1-749-009-2256x417,new york,M,07/05/2008,,bronze
CRM-1446,JESSICA OBRIEN,,6341128735,NY,M,04/09/2013,,bronze
CRM-6715,Dustin Peters,,6384324434,NY,female,2025-14-01,,silver
USR-1594X,Christine Duran,PAULESPARZA@CARTER.NET,(384)781-7916,California,M,06/09/1986,258.29,bronze
CRM-4429,MICHAEL RUBIO,, ,new york,Unknown,2025-14-01,,Silver 
ACC-80683,Jeffery Caldwell,josegray@gmail,(305)-555-1610,NY,M,1993/12/20,,Silver 
CX-185270, april thomas ,stephanierodriguezgmail.com,001-191-281-0806x65480,NY,Unknown,1997-08-20,484.43,bronze
CRM-8525,Gregory Wood,ohopkins@gmail,9945896413,FL ,Unknown,1973-05-02,, Platinum
CUST-40352, michelle yu ,ashleyreeves@cochran.com,305.555.7304,ca,Unknown,07/25/1971,143.79,GOLD
CUST-65084,Amanda Daniel,,(305)-555-4292,FL ,M,2025-14-01,,silver
USR-8092X,SYDNEY MALDONADO,, ,NY,M,2001/01/05,,silver
CRM-1677,Jeffrey Figueroa,, ,texas,Male,1984-08-16,-25.0,silver
CRM-1126,Holly Gardner,hailey71@yahoo.com,+1-162-136-7374x55042,Florida,Unknown,2020/03/30,,gold
CUST-42325, michael harris ,HRAMOS@YAHOO.COM,353.275.5242,new york,Unknown,01/09/2006,,Gold
ACC-15174,Jasmin Rodriguez,, ,Florida,Male,2025-14-01,863.17,silver
USR-8685X,DIANA GRAY,UBURTON@YAHOO.COM,915-525-7315x2932,NY,M,1981/01/12,-25.0, Platinum
USR-4312X,HEATHER BIRD,, ,Florida,female,2002-10-28,191.6,gold
CRM-6934, benjamin powell ,nathanperezgmail.com,025.109.8621,ca,Female,04/08/2023,-25.0,Gold
USR-2928X,BRIAN JOHNSON,melissacabrera@hotmail.com,9484042975,Nevada,Male,2025-14-01,437.04, Platinum
