order_id,customer_id,customer_name,order_date,order_amount
10001,360,Anthony Johnson,2025-01-01,62.59
10002,293,Jason White,2025-01-02,196.08
10003,301,Samantha Taylor,2025-01-02,328.96
10004,379,Ashley Lewis,2025-01-02,63.9
10005,219,Justin Nelson,2025-01-03,161.73
10006,291,Jason Lopez,2025-01-03,11.57
10007,264,Vanessa Wilson,2025-01-04,65.06
10008,279,Anthony Martinez,2025-01-05,46.16
10009,314,Jessica Thomas,2025-01-05,67.12
10010,204,Robert Johnson,2025-01-06,39.73
10011,241,James King,2025-01-06,177.3
10012,273,Kevin Moore,2025-01-06,188.59
10013,328,Eric Harris,2025-01-06,42.49
10014,343,Christopher White,2025-01-06,153.28
10015,206,Brian Scott,2025-01-07,142.33
10016,231,James Scott,2025-01-07,81.82
10017,260,Samantha Wright,2025-01-07,34.92
10018,338,Anthony Green,2025-01-07,52.16
10019,377,Brandon Reed,2025-01-07,63.62
10020,380,Rachel Johnson,2025-01-07,191.33
10021,310,Brandon Young,2025-01-08,91.72
10022,287,Brandon Reed,2025-01-09,62.75
10023,281,Marcus Carter,2025-01-10,63.48
10024,286,Vanessa Wilson,2025-01-10,33.59
10025,293,Jason White,2025-01-10,44.53
10026,346,Robert Davis,2025-01-10,56.85
10027,211,Ashley Davis,2025-01-11,125.19
10028,277,Jessica Davis,2025-01-11,43.58
10029,336,Jason Jackson,2025-01-11,108.16
10030,344,Michelle Clark,2025-01-11,147.96
10031,395,Ashley Nelson,2025-01-11,243.43
10032,365,Kevin Baker,2025-01-12,80.64
10033,213,Sarah Lewis,2025-01-13,74.74
10034,291,Jason Lopez,2025-01-13,154.96
10035,296,Sarah King,2025-01-13,25.26
10036,357,Lauren Davis,2025-01-13,64.03
10037,326,Michelle Walker,2025-01-14,98.23
10038,361,Eric Mitchell,2025-01-14,142.06
10039,218,Megan Martinez,2025-01-15,73.79
10040,224,Jessica Garcia,2025-01-15,57.42
10041,220,Sarah Green,2025-01-16,38.65
10042,267,Amanda Moore,2025-01-16,75.11
10043,358,Emily King,2025-01-16,141.52
10044,242,Robert Green,2025-01-17,85.37
10045,238,Brandon Thomas,2025-01-19,204.73
10046,241,James King,2025-01-20,132.5
10047,356,Amanda Lopez,2025-01-20,161.37
10048,360,Anthony Johnson,2025-01-20,26.01
10049,369,Christopher Jackson,2025-01-20,47.75
10050,400,Andrew Baker,2025-01-20,34.23
10051,208,Maria Walker,2025-01-21,92.54
10052,316,Anthony Green,2025-01-21,57.69
10053,359,Kevin Garcia,2025-01-22,130.65
10054,356,Amanda Lopez,2025-01-23,36.8
10055,252,Natalie Mitchell,2025-01-24,65.19
10056,264,Vanessa Wilson,2025-01-24,73.55
10057,383,Robert Nelson,2025-01-24,60.5
10058,331,Vanessa Johnson,2025-01-25,162.78
10059,367,Michael Reed,2025-01-25,143.61
10060,379,Ashley Lewis,2025-01-25,108.21
10061,326,Michelle Walker,2025-01-26,108.04
10062,330,Vanessa Lewis,2025-01-26,137.64
10063,375,Nicole Scott,2025-01-26,47.01
10064,399,Nicole Martinez,2025-01-26,193.53
10065,298,Brian Carter,2025-01-27,59.82
10066,311,Daniel Adams,2025-01-27,145.92
10067,207,Michelle Lewis,2025-01-28,127.73
10068,288,Jessica Young,2025-01-28,60.88
10069,309,Andrew Reed,2025-01-29,115.26
10070,308,David Clark,2025-01-30,127.83
10071,353,James Davis,2025-01-30,34.61
10072,380,Rachel Johnson,2025-01-30,75.23
10073,370,Marcus White,2025-01-31,147.92
10074,208,Maria Walker,2025-02-01,74.94
10075,250,Christopher Garcia,2025-02-01,227.82
10076,381,Marcus Brown,2025-02-01,58.14
10077,389,Anthony Adams,2025-02-01,64.36
10078,255,Samantha Brown,2025-02-02,35.46
10079,263,Olivia Green,2025-02-02,278.89
10080,226,Michael Lopez,2025-02-03,650.0
10081,246,Nicole Martinez,2025-02-03,92.31
10082,301,Samantha Taylor,2025-02-03,245.8
10083,223,Amanda Martinez,2025-02-04,65.14
10084,344,Michelle Clark,2025-02-04,137.7
10085,357,Lauren Davis,2025-02-04,289.47
10086,297,Eric Reed,2025-02-05,76.67
10087,397,James Brown,2025-02-05,242.02
10088,392,Brandon Davis,2025-02-06,109.05
10089,400,Andrew Baker,2025-02-07,24.41
10090,225,Vanessa Taylor,2025-02-08,50.4
10091,331,Vanessa Johnson,2025-02-08,86.33
10092,382,Emily White,2025-02-08,27.83
10093,201,Samantha Reed,2025-02-09,57.26
10094,307,Lauren Green,2025-02-09,57.1
10095,374,Michael Wilson,2025-02-09,135.44
10096,223,Amanda Martinez,2025-02-10,152.69
