Order_ID,Date,Region,Salesperson,Category,Product,Channel,Units,Unit_Price,Revenue,Cost,Profit
ORD-100336,46023,West,Rachel Green,Sports,Yoga Mat,Online,1,36.45,36.45,17.99,18.46
ORD-100364,46023,North,James Wilson,Electronics,Headphones,Online,4,98.46,393.84,237.79,156.05
ORD-100671,46023,East,David Lee,Clothing,Hoodie,Online,6,62.02,372.12,184.57,187.55
ORD-100998,46023,West,Jordan Smith,Sports,Running Shoes,Store,2,120.42,240.84,143.56,97.28
ORD-101335,46023,North,James Wilson,Electronics,Webcam,Marketplace,1,103.41,103.41,62.69,40.72
ORD-101416,46023,South,Chris Brown,Clothing,Jeans,Marketplace,2,64.51,129.02,67.81,61.21
ORD-101446,46023,West,Tom Nguyen,Home,Coffee Maker,Online,3,109.77,329.31,206.11,123.2
ORD-101453,46023,West,Rachel Green,Sports,Dumbbells,Marketplace,5,69.7,348.5,212.65,135.85
ORD-102199,46023,East,Sarah Kim,Clothing,Jacket,Store,1,90.36,90.36,51.11,39.25
ORD-102409,46023,West,Rachel Green,Electronics,Webcam,Store,5,118.54,592.7,343.94,248.76
ORD-102441,46023,North,Nina Patel,Home,Air Fryer,Marketplace,6,146.25,877.5,587.37,290.13
ORD-102452,46023,West,Jordan Smith,Clothing,Jeans,Store,5,68.98,344.9,173,171.9
ORD-102502,46023,West,Rachel Green,Electronics,Webcam,Online,5,111.97,559.85,331.81,228.04
ORD-102590,46023,South,Mike Davis,Home,Air Fryer,Online,2,164.39,328.78,220.94,107.84
ORD-102846,46023,East,Marcus Reed,Sports,Running Shoes,Marketplace,1,114.34,114.34,69.47,44.87
ORD-102947,46023,South,Ana Lopez,Home,Air Fryer,Online,1,164.21,164.21,112.19,52.02
ORD-103068,46023,North,Emily Chen,Clothing,Sneakers,Online,6,112.21,673.26,392.44,280.82
ORD-103217,46023,West,Tom Nguyen,Home,Vacuum,Store,2,188.83,377.66,255.67,121.99
ORD-103299,46023,South,Chris Brown,Clothing,Jacket,Store,2,93.22,186.44,98.93,87.51
ORD-103382,46023,South,Chris Brown,Electronics,Keyboard,Online,2,67.64,135.28,81.42,53.86
ORD-103505,46023,West,Tom Nguyen,Clothing,Jacket,Store,3,103.24,309.72,171.89,137.83
ORD-103577,46023,North,Nina Patel,Electronics,Keyboard,Store,5,69.68,348.4,197.36,151.04
ORD-103960,46023,East,Marcus Reed,Clothing,Sneakers,Store,6,99.66,597.96,361.78,236.18
ORD-103978,46023,West,Rachel Green,Sports,Fitness Tracker,Marketplace,4,136.82,547.28,373.98,173.3
ORD-104228,46023,West,Rachel Green,Home,Coffee Maker,Marketplace,5,115.19,575.95,372.21,203.74
ORD-104563,46023,South,Ana Lopez,Clothing,Hoodie,Marketplace,5,64.37,321.85,158.66,163.19
